formatted_date,high,low,open,close,volume,adjclose
2015-05-27,2126.22,2105.13,2105.13,2123.48,3127960000,2123.48
2015-05-28,2122.27,2112.86,2122.27,2120.79,2980350000,2120.79
2015-05-29,2120.66,2104.89,2120.66,2107.39,3927390000,2107.39
2015-06-01,2119.15,2102.54,2108.64,2111.73,3011710000,2111.73
2015-06-02,2117.59,2099.14,2110.41,2109.6,3049350000,2109.6
2015-06-03,2121.92,2109.61,2110.64,2114.07,3099980000,2114.07
2015-06-04,2112.89,2093.23,2112.35,2095.84,3200050000,2095.84
2015-06-05,2100.99,2085.67,2095.09,2092.83,3243690000,2092.83
2015-06-08,2093.01,2079.11,2092.34,2079.28,2917150000,2079.28
2015-06-09,2085.62,2072.14,2079.07,2080.15,3034580000,2080.15
2015-06-10,2108.5,2081.12,2081.12,2105.2,3414320000,2105.2
2015-06-11,2115.02,2106.24,2106.24,2108.86,3128600000,2108.86
2015-06-12,2107.43,2091.33,2107.43,2094.11,2719400000,2094.11
2015-06-15,2091.34,2072.49,2091.34,2084.43,3061570000,2084.43
2015-06-16,2097.4,2082.1,2084.26,2096.29,2919900000,2096.29
2015-06-17,2106.79,2088.86,2097.4,2100.44,3222240000,2100.44
2015-06-18,2126.65,2101.58,2101.58,2121.24,3520360000,2121.24
2015-06-19,2121.64,2109.45,2121.06,2109.99,4449810000,2109.99
2015-06-22,2129.87,2112.5,2112.5,2122.85,3030020000,2122.85
2015-06-23,2128.03,2119.89,2123.16,2124.2,3091190000,2124.2
2015-06-24,2125.1,2108.58,2123.65,2108.58,3102480000,2108.58
2015-06-25,2116.04,2101.78,2109.96,2102.31,3214610000,2102.31
2015-06-26,2108.92,2095.38,2102.62,2101.49,5025470000,2101.49
2015-06-29,2098.63,2056.64,2098.63,2057.64,3678960000,2057.64
2015-06-30,2074.28,2056.32,2061.19,2063.11,4078540000,2063.11
2015-07-01,2082.78,2067.0,2067.0,2077.42,3727260000,2077.42
2015-07-02,2085.06,2071.02,2078.03,2076.78,2996540000,2076.78
2015-07-06,2078.61,2058.4,2073.95,2068.76,3486360000,2068.76
2015-07-07,2083.74,2044.02,2069.52,2081.34,4458660000,2081.34
2015-07-08,2077.66,2044.66,2077.66,2046.68,3608780000,2046.68
2015-07-09,2074.28,2049.73,2049.73,2051.31,3446810000,2051.31
2015-07-10,2081.31,2052.74,2052.74,2076.62,3065070000,2076.62
2015-07-13,2100.67,2080.03,2080.03,2099.6,3096730000,2099.6
2015-07-14,2111.98,2098.18,2099.72,2108.95,3002120000,2108.95
2015-07-15,2114.14,2102.49,2109.01,2107.4,3261810000,2107.4
2015-07-16,2124.42,2110.55,2110.55,2124.29,3227080000,2124.29
2015-07-17,2128.91,2119.88,2126.8,2126.64,3362750000,2126.64
2015-07-20,2132.82,2123.66,2126.85,2128.28,3245870000,2128.28
2015-07-21,2128.49,2115.4,2127.55,2119.21,3343690000,2119.21
2015-07-22,2118.51,2110.0,2118.21,2114.15,3694070000,2114.15
2015-07-23,2116.87,2098.63,2114.16,2102.15,3772810000,2102.15
2015-07-24,2106.01,2077.09,2102.24,2079.65,3870040000,2079.65
2015-07-27,2078.19,2063.52,2078.19,2067.64,3836750000,2067.64
2015-07-28,2095.6,2069.09,2070.75,2093.25,4117740000,2093.25
2015-07-29,2110.6,2094.08,2094.7,2108.57,4038900000,2108.57
2015-07-30,2110.48,2094.97,2106.78,2108.63,3579410000,2108.63
2015-07-31,2114.24,2102.07,2111.6,2103.84,3681340000,2103.84
2015-08-03,2105.7,2087.31,2104.49,2098.04,3476770000,2098.04
2015-08-04,2102.51,2088.6,2097.68,2093.32,3546710000,2093.32
2015-08-05,2112.66,2095.27,2095.27,2099.84,3968680000,2099.84
2015-08-06,2103.32,2075.53,2100.75,2083.56,4246570000,2083.56
2015-08-07,2082.61,2067.91,2082.61,2077.57,3602320000,2077.57
2015-08-10,2105.35,2080.98,2080.98,2104.18,3514460000,2104.18
2015-08-11,2102.66,2076.49,2102.66,2084.07,3708880000,2084.07
2015-08-12,2089.06,2052.09,2081.1,2086.05,4269130000,2086.05
2015-08-13,2092.93,2078.26,2086.19,2083.39,3221300000,2083.39
2015-08-14,2092.45,2080.61,2083.15,2091.54,2795590000,2091.54
2015-08-17,2102.87,2079.3,2089.7,2102.44,2867690000,2102.44
2015-08-18,2103.47,2094.14,2101.99,2096.92,2949990000,2096.92
2015-08-19,2096.17,2070.53,2095.69,2079.61,3512920000,2079.61
2015-08-20,2076.61,2035.73,2076.61,2035.73,3922470000,2035.73
2015-08-21,2034.08,1970.89,2034.08,1970.89,5018240000,1970.89
2015-08-24,1965.15,1867.01,1965.15,1893.21,6612690000,1893.21
2015-08-25,1948.04,1867.08,1898.08,1867.61,5183560000,1867.61
2015-08-26,1943.09,1872.75,1872.75,1940.51,5338250000,1940.51
2015-08-27,1989.6,1942.77,1942.77,1987.66,5006390000,1987.66
2015-08-28,1993.48,1975.19,1986.06,1988.87,3949080000,1988.87
2015-08-31,1986.73,1965.98,1986.73,1972.18,3915100000,1972.18
2015-09-01,1970.09,1903.07,1970.09,1913.85,4371850000,1913.85
2015-09-02,1948.91,1916.52,1916.52,1948.86,3742620000,1948.86
2015-09-03,1975.01,1944.72,1950.79,1951.13,3520700000,1951.13
2015-09-04,1947.76,1911.21,1947.76,1921.22,3167090000,1921.22
2015-09-08,1970.42,1927.3,1927.3,1969.41,3548650000,1969.41
2015-09-09,1988.63,1937.88,1971.45,1942.04,3652120000,1942.04
2015-09-10,1965.29,1937.19,1941.59,1952.29,3626320000,1952.29
2015-09-11,1961.05,1939.19,1951.45,1961.05,3218590000,1961.05
2015-09-14,1963.06,1948.27,1963.06,1953.03,3000200000,1953.03
2015-09-15,1983.19,1954.3,1955.1,1978.09,3239860000,1978.09
2015-09-16,1997.26,1977.93,1978.02,1995.31,3630680000,1995.31
